Participant;Trial;Delay;Info;Candidate;Uni;Sub 1;Sub 2;Sub 3;Final Year;Clubs;AI recommendation;CorrectDecision;Feedback to AI
0;1;long;Entertaining;1;davebio;18.13;16.06;13.14;15.61;Science Club;Accept;Accept;Correct
0;2;long;Entertaining;2;davebio;11.30;16.58;19.22;16.16;Bowling Club;Reject;Reject;Correct
0;3;long;Entertaining;3;davebio;15.06;13.23;15.18;14.63;Science Club;Reject;Reject;Correct
0;4;long;Entertaining;4;davebio;15.59;16.01;15.88;14.20;Board Games Club;Reject;Accept;Wrong
0;5;long;Entertaining;5;davebio;11.86;17.39;14.59;14.26;Health Occupation Club;Reject;Reject;Correct
0;6;long;Entertaining;6;davebio;12.00;18.13;16.88;14.77;Board Games Club;Reject;Reject;Correct
0;7;long;Entertaining;7;davebio;16.45;16.61;15.71;15.56;None;Accept;Reject;Wrong
0;8;long;Entertaining;8;davebio;15.08;13.44;13.71;14.57;Board Games Club;Reject;Reject;Correct
0;9;long;Entertaining;9;davebio;12.90;16.95;14.00;15.54;Guitar Club;Reject;Reject;Correct
0;10;long;Entertaining;10;davebio;18.02;12.99;12.09;14.10;Bowling Club;Accept;Reject;Wrong
0;11;long;Entertaining;11;davebio;16.82;18.54;15.68;15.33;None;Accept;Accept;Correct
0;12;long;Entertaining;12;davebio;12.83;12.75;15.78;14.73;Guitar Club;Reject;Reject;Correct
0;13;long;Entertaining;13;davebio;15.78;15.93;13.88;14.45;Public Health Club;Accept;Accept;Correct
0;14;long;Entertaining;14;davebio;14.93;15.35;16.35;15.73;None;Reject;Reject;Correct
0;15;long;Entertaining;15;davebio;15.70;16.48;13.18;15.02;Guitar Club;Reject;Reject;Correct
0;16;long;Simple;1;mavechem;13.95;15.23;12.44;14.07;Bowling Club;Reject;Reject;Correct
0;17;long;Simple;2;mavechem;14.80;13.54;15.49;15.10;Science Club;Reject;Reject;Correct
0;18;long;Simple;3;mavechem;16.59;15.90;13.53;15.46;None;Reject;Reject;Correct
0;19;long;Simple;4;mavechem;13.81;16.80;15.77;15.27;Guitar Club;Accept;Accept;Correct
0;20;long;Simple;5;mavechem;13.12;15.87;13.47;15.51;Public Health Club;Reject;Reject;Correct
0;21;long;Simple;6;mavechem;13.39;15.79;16.61;14.76;Bowling Club;Reject;Accept;Wrong
0;22;long;Simple;7;mavechem;16.41;13.35;11.94;15.28;Public Health Club;Reject;Reject;Correct
0;23;long;Simple;8;mavechem;14.65;14.84;13.81;15.93;Guitar Club;Reject;Reject;Correct
0;24;long;Simple;9;mavechem;15.45;14.18;15.97;14.62;Board Games Club;Reject;Reject;Correct
0;25;long;Simple;10;mavechem;17.95;15.37;14.03;15.46;Health Occupation Club;Reject;Accept;Wrong
0;26;long;Simple;11;mavechem;14.42;15.89;17.04;15.41;None;Reject;Reject;Correct
0;27;long;Simple;12;mavechem;16.63;13.10;12.48;14.57;Bowling Club;Reject;Reject;Correct
0;28;long;Simple;13;mavechem;15.58;16.28;16.26;15.75;None;Accept;Reject;Wrong
0;29;long;Simple;14;mavechem;16.55;16.21;13.44;14.50;Science Club;Accept;Accept;Correct
0;30;long;Simple;15;mavechem;17.41;18.55;14.14;16.99;None;Accept;Accept;Correct
0;31;long;Transparent;1;javephy;13.01;14.79;14.33;14.75;Public Health Club;Reject;Reject;Correct
0;32;long;Transparent;2;javephy;15.19;15.41;13.83;14.87;Bowling Club;Reject;Reject;Correct
0;33;long;Transparent;3;javephy;15.27;14.64;17.12;16.26;Science Club;Reject;Accept;Wrong
0;34;long;Transparent;4;javephy;17.74;15.00;15.33;14.78;None;Reject;Reject;Correct
0;35;long;Transparent;5;javephy;13.03;18.49;14.72;15.75;None;Accept;Reject;Wrong
0;36;long;Transparent;6;javephy;11.16;15.42;14.55;14.40;Guitar Club;Reject;Reject;Correct
0;37;long;Transparent;7;javephy;14.19;19.17;13.85;15.92;None;Accept;Accept;Correct
0;38;long;Transparent;8;javephy;14.19;15.63;12.98;14.36;Health Occupation Club;Reject;Reject;Correct
0;39;long;Transparent;9;javephy;14.59;17.14;15.14;16.10;Bowling Club;Accept;Accept;Correct
0;40;long;Transparent;10;javephy;13.86;16.02;13.97;14.87;Guitar Club;Reject;Reject;Correct
0;41;long;Transparent;11;javephy;15.24;17.12;14.27;14.77;Public Health Club;Accept;Accept;Correct
0;42;long;Transparent;12;javephy;18.69;15.44;12.50;14.97;Board Games Club;Reject;Accept;Wrong
0;43;long;Transparent;13;javephy;14.90;12.16;14.35;14.58;Health Occupation Club;Reject;Reject;Correct
